STT,Nhóm,Tên thiết bị,Model/Thông số,Số lượng,Đơn giá (VNĐ),Thành tiền (VNĐ),Mức ưu tiên,Lý do,Tác dụng,Ghi chú
11,N2 Nguồn,"Jack DC cái","5.5x2.5mm (khớp đầu adapter STT 8)",2,5000,10000,Nên có,"Cắm adapter 5V vào mạch","Đầu nối nguồn","Đổi từ 2.1 → 2.5 theo adapter đã chọn; KHÔNG trộn 2 chuẩn 2.1/2.5 trong cùng project (đầu 2.1 cắm jack 2.5 bị lỏng, chập chờn)"
12,N2 Nguồn,"Dây nguồn 2 lõi","18AWG",1,25000,25000,Nên có,"Tải dòng cao từ pin","Dây cấp nguồn công suất",""
13,N2 Nguồn,"Tụ điện lọc nguồn","470-1000µF electrolytic",1,5000,5000,Nên có,"WiFi/TLS spike gây sụt áp reset ESP32","Ổn định nguồn, gắn gần chân VIN ESP32","Ước giá; wiring-diagram mục 6 khuyến nghị"
14,N3 Sensor redundant,"Module đo V và I I2C","INA226 (địa chỉ 0x40)",1,35000,35000,Nên có,"Nguồn đo V/I thứ 2 độc lập với BMS để demo SensorMismatch (firmware S5-FW-04)","Đọc điện áp (và dòng) redundant; backend so với BMS trong cửa sổ 60s","8S đầy ~29V < 36V (bus max INA226) nên đo V vẫn OK; đo dòng pack cần shunt ngoài (STT 17); I2C GPIO8/9 chung bus với SHT31; ADR-017: chỉ cross-source, KHÔNG làm energy metrics"
15,N3 Sensor redundant,"Cảm biến nhiệt chống nước","DS18B20",2,25000,50000,Nên có,"Nhiệt thân pin external-temp, nguồn nhiệt thứ 2 so BMS (firmware S5-FW-05); mua 2 (1 dùng + 1 dự phòng)","Đọc nhiệt độ vỏ pin qua 1-Wire GPIO4",""
16,N3 Sensor redundant,"Điện trở 4.7kΩ (pack)","pull-up 1-Wire",1,5000,5000,Nên có,"1-Wire DS18B20 cần điện trở kéo lên","Kéo lên 3V3 cho chân DATA DS18B20 (GPIO4)",""
17,N3 Sensor redundant,"Shunt đo dòng công suất","50A/75mV (hoặc 2mΩ) + shunt ngoài cho INA226",1,40000,40000,Tùy chọn,"INA226 shunt onboard chỉ ~1A không đo được dòng pin 30Ah","Cho INA226 đo dòng pack thật để cross-source cả dòng","Chỉ cần nếu muốn cross-source DÒNG. Cross-source điện áp thì bỏ qua"
18,N4 Môi trường,"Cảm biến nhiệt-ẩm","SHT31 (địa chỉ 0x44)",1,80000,80000,Nên có,"Giám sát nhiệt-ẩm môi trường quanh pin (firmware S5-FW-06)","AmbientReading gửi /api/ambient/readings/batch","DHT22 rẻ hơn ~30k nhưng firmware code cho SHT31; I2C GPIO8/9 chung bus với INA226"
19,N4 Môi trường,"Cảm biến khói","MQ-2",1,25000,25000,Nên có,"Phát hiện khói/cháy pin → EnvironmentalIncident (firmware S6-FW-01)","Đọc nồng độ khói qua ADC GPIO1","Chạy 5V - chân AO PHẢI qua chia áp về ≤3.3V trước khi vào GPIO1; warmup 30s"
20,N4 Môi trường,"Cảm biến rò nước","Water leak (LM393)",1,15000,15000,Nên có,"Phát hiện rò nước/ngập → EnvironmentalIncident (firmware S6-FW-02)","Đọc digital GPIO2","Firmware mặc định ướt→LOW (INPUT_PULLUP)"
21,N4 Môi trường,"Điện trở chia áp cho MQ-2","vd 10kΩ + 20kΩ",1,5000,5000,Nên có,"Bảo vệ chân ADC ESP32 khỏi mức 5V của MQ-2 AO","Chia áp AO MQ-2 từ 5V về ~3.3V","Ước giá"
22,N5 Chống mất data,"microSD + module SD SPI","16GB + module",1,110000,110000,Tùy chọn,"Firmware mặc định queue LittleFS on-flash đã đủ; SD chỉ cho buffer mất mạng nhiều giờ","Mở rộng local queue (SPI GPIO10-13)","Bỏ qua nếu không cần offline dài"
23,N6 Calibration,"Đồng hồ vạn năng","Fluke 87V hoặc bản tầm trung",1,800000,800000,Tùy chọn,"Cần giá trị V/I/temp chuẩn để calibrate sensor (S5-HW-07, Sprint 7)","Đo tham chiếu nhập vào calibration","MƯỢN lab được thì 0đ; Fluke thật ~10tr, bản tầm trung ~800k đủ"
24,N6 Calibration,"Nhiệt kế tham chiếu","—",1,150000,150000,Tùy chọn,"Chuẩn để calibrate temperature","Đối chiếu nhiệt độ DS18B20/BMS",""
25,N7 Đóng gói thực địa,"Hộp enclosure IP65","—",1,80000,80000,Tùy chọn,"Chống nước/bụi khi đặt node ngoài lab (Sprint 8)","Vỏ bảo vệ node",""
26,N7 Đóng gói thực địa,"Perfboard PCB","7x9cm",2,12000,24000,Tùy chọn,"Hàn bản cố định sau khi chốt layout breadboard","Đế hàn mạch demo/pilot",""
27,N7 Đóng gói thực địa,"Header pin cái 2.54mm","set",1,25000,25000,Tùy chọn,"Cắm ESP32 lên perfboard tháo được","Socket cắm module",""
28,N7 Đóng gói thực địa,"Ống gen co nhiệt + dây rút","set",1,30000,30000,Tùy chọn,"Bọc mối nối, đi dây gọn","Cách điện + gọn gàng dây",""
29,N7 Đóng gói thực địa,"DIN rail + đế gắn","—",1,30000,30000,Tùy chọn,"Lắp gọn trong tủ điện","Gắn node vào thanh ray",""
30,N7 Đóng gói thực địa,"Quạt tản nhiệt mini","5V",1,25000,25000,Tùy chọn,"Tránh node quá nóng trong enclosure kín","Tản nhiệt cưỡng bức",""
31,N7 Đóng gói thực địa,"UPS: TP4056 + 18650 + holder + boost 5V","—",1,75000,75000,Tùy chọn,"Node sống khi cúp điện AC để báo offline đúng (LWT ≥90s sau mất nguồn)","Nguồn dự phòng giữ ESP32 sống",""
32,N7 Đóng gói thực địa,"Router 4G + SIM","SIM7600 hoặc router 4G",1,700000,700000,Tùy chọn,"Fallback khi site không có WiFi","Kết nối Internet qua 4G","Chỉ mua nếu site không sẵn WiFi"
33,N8 Dụng cụ,"USB-RS485 adapter","CH340/FT232 + chip RS485",1,50000,50000,Nên có,"Test Modbus của BMS trên laptop TRƯỚC khi code ESP32 — cô lập lỗi phần cứng vs lỗi firmware","Cắm cổng CAN&RS485 → JK PC Monitor / modpoll đọc thử nhóm thanh ghi 0x1200","Test laptop TRƯỚC, ESP32 SAU"
34,N8 Dụng cụ,"USB-TTL 3.3V adapter","CP2102 / CH340 (mức 3.3V)",1,40000,40000,Nên có,"Test cổng UART (JK-native 115200) của BMS trên laptop — đường dây thứ 2 nếu RS485 trục trặc","Cắm cổng UART → JK PC Monitor / serial 115200 xác nhận đọc được frame 4E 57","Chọn loại có jumper 3.3V"
35,N8 Dụng cụ,"Mỏ hàn + thiếc + flux","—",1,250000,250000,Nên có,"Hàn chân header, mối nối cố định","Làm mạch bền ở Sprint 8","Bỏ qua nếu chỉ demo trên breadboard"
36,N8 Dụng cụ,"Kìm tuốt/cắt + tua vít set","—",1,200000,200000,Nên có,"Đấu dây, lắp ráp cơ bản","Dụng cụ cơ khí","Có thể đã có sẵn"
37,N8 Dụng cụ,"Logic analyzer mini","8 channel",1,150000,150000,Tùy chọn,"Debug tín hiệu UART/RS485 khi đọc BMS lỗi","Bắt sóng serial soi tín hiệu","Hữu ích khi frame JK-native/Modbus không ổn"
38,N9 Backend infra,"MQTT/DB/Redis/RabbitMQ/Grafana","Mosquitto/Postgres+Timescale/Docker",1,0,0,Bắt buộc,"Đã có sẵn infra/docker-compose.dev.yml trong repo; chạy laptop free","Broker + DB + event bus + dashboard","0đ - chạy Docker trên laptop"
39,N9 Backend infra,"VPS cloud","2-4 vCPU 4-8GB RAM",1,200000,200000,Tùy chọn,"Chỉ cần khi deploy public; MVP chạy laptop là đủ","Host 4 service + broker + DB","Giá theo tháng; bỏ qua cho demo capstone"
40,N9 Backend infra,"Domain + TLS","Let's Encrypt (TLS free)",1,250000,250000,Tùy chọn,"HTTPS + MQTT-over-TLS 8883 khi ra ngoài LAN","Tên miền public + chứng chỉ","Giá domain theo năm; TLS miễn phí"
41,Đã có sẵn,"Pin LiFePO4 + JK BMS vỏ nhôm mới","LFP 24V 30Ah (8S) + JK-BD6A24S10P vỏ nhôm — XÁC NHẬN TỪ NHÃN: 8-24S, xả liên tục 100A (đỉnh 200A/2 phút), balance chủ động 0.6A, MOSFET 1mΩ, 162x102x20mm, 3 kênh nhiệt, Bluetooth (nhãn có SN + MAC); cổng: CAN&RS485 / UART / màn hình(显示屏) / song song(并联) / báo động(报警)",0,0,0,Đã có,"BẠN ĐÃ CÓ - đối tượng đo chính; listing shop ghi 60A nhưng máy giao thực tế là bản 10P = 100A; vỏ nhôm có RS485 TÍCH HỢP; đây là món DUY NHẤT đã có — mọi thứ khác trong list đều chưa mua","(không mua) - tiết kiệm lớn nhất so BOM gốc","Setup: app JK BMS (pass BLE 1234 / pass setting 123456) → BẮT BUỘC Cell Count = 8 (xuất xưởng mặc định 24) + Capacity 30Ah + preset LFP; xem Device Info → Hardware Version (<11 → JK02_24S, ≥11 → JK02_32S; số 11 khoanh tròn trên nhãn QC có thể chỉ là mã kiểm phẩm — đừng tin vội); lắp ráp chi tiết xem hardware-assembly-guide.md"
42,Không cần,"Cáp đôi xoắn shield + domino","—",0,0,0,Bỏ qua,"1 pack duy nhất, khoảng cách ESP32-BMS ngắn — dây thường đủ","(không mua)","Chỉ cần khi multi-drop nhiều pack xa nhau"
43,Không cần,"Transceiver CAN + USB-CAN","SN65HVD230 + CANable",0,0,0,Bỏ qua,"Cổng CAN của BMS nói giao thức inverter (Pylontech/Goodwe) phục vụ inverter — không phải kênh telemetry cho ESP32","(không mua)","Telemetry đi đường RS485-Modbus hoặc UART JK-native"
44,Không cần,"Cảm biến dòng ACS712","30A",0,0,0,Bỏ qua,"Trùng chức năng với INA226","(không mua)",""
45,Ngoài scope,"Solar panel + charge controller + tải giả","20W + PWM",0,0,0,Bỏ qua,"Scope guard ADR-017 CẤM demo energy metrics (kWh/CO2/cost)","(không mua) - trừ khi chỉ để nuôi node ngoài trời","Vi phạm CI scope-guard nếu làm dashboard năng lượng"
46,Thông tin (0đ),"Bluetooth BLE - đường đọc dự phòng","Service FFE0 / characteristic FFE1; protocol JK02_32S nếu HW ≥ 11",0,0,0,Thông tin,"ESP32-S3 có sẵn BLE — đọc không cần dây nào tới BMS","Phương án dự phòng nếu cả 2 cổng dây gặp vấn đề","BMS chỉ nhận 1 kết nối BLE cùng lúc (ESP32 giữ → app điện thoại bị chặn); vỏ nhôm có thể làm yếu sóng; firmware repo chưa có code BLE — tham khảo syssi/esphome-jk-bms; frame >300 byte phải ghép nhiều packet"
47,Thông tin (0đ),"Cổng màn hình (显示屏) + cáp trắng kèm BMS","LCD option của JK (giao tiếp RS485 nội bộ)",0,0,0,Thông tin,"Cáp trắng cắm sẵn trong ảnh là cáp cổng màn hình","Nối màn hình LCD chính hãng (mua riêng) — hiển thị thông số tại chỗ","KHÔNG dùng cổng này để ESP32 lấy data"
48,Thông tin (0đ),"Cổng song song (并联)","RS485 daisy-chain giữa các pack",0,0,0,Thông tin,"Chỉ dùng khi ghép nhiều pack song song trong 1 hệ","Không dùng — rig chỉ có 1 pack",""
49,Thông tin (0đ),"Cổng báo động (报警)","Ngõ cảnh báo (buzzer/dry contact)",0,0,0,Thông tin,"BMS tự phát cảnh báo quá áp/quá nhiệt/ngắn mạch","Tùy chọn về sau: nối vào GPIO ESP32 làm tín hiệu cảnh báo cứng thứ 2","Không mang data số; xác định mức điện áp chân trước khi nối"
